Timestamp,Proximity Value,Gesture Type,Screen On/Off,Object Detected
2024-10-10 10:00:01,0.3,Swipe Left,Off,Yes
2024-10-10 10:00:02,0.8,Swipe Right,On,No
2024-10-10 10:00:03,1.5,None,Off,No
2024-10-10 10:00:04,0.2,Tap,On,Yes
2024-10-10 10:00:05,1.1,None,Off,No
2024-10-10 10:00:06,2.4,Swipe Up,On,Yes
2024-10-10 10:00:07,0.0,Swipe Down,Off,No
2024-10-10 10:00:08,0.6,Swipe Left,On,Yes
2024-10-10 10:00:09,1.8,None,Off,No
2024-10-10 10:00:10,0.9,Tap,On,Yes
2024-10-10 10:00:11,2.1,Swipe Right,Off,No
2024-10-10 10:00:12,0.5,None,On,Yes
